time;DBD;HPG;VNM;ACB;;;;;;;;;;;;;
19/10/2022;-0,00102494;-0,023809524;0,001268834;-0,014342629;;;;;;;;;;;;;
20/10/2022;0;-0,016499283;0,011721844;0,012126112;;;;;;;;;;;;;
21/10/2022;-0,01128591;-0,066374909;-0,006419289;-0,044728435;;;;;;;;;;;;;
24/10/2022;-0,016603251;-0,0296875;-0,039079735;-0,044314381;;;;;;;;;;;;;
25/10/2022;-0,002462188;0,042673108;0,027058052;0,046369204;;;;;;;;;;;;;
26/10/2022;0;-0,011583012;0;0,012541806;;;;;;;;;;;;;
27/10/2022;0;0,0296875;0,032891586;0,067712634;;;;;;;;;;;;;
28/10/2022;0,00493653;-0,03414264;-0,006337919;0,010827533;;;;;;;;;;;;;
31/10/2022;-0,001052632;-0,068342498;0,006378345;0,004590666;;;;;;;;;;;;;
01/11/2022;0;-0,042158516;0,021641676;0,002284844;;;;;;;;;;;;;
02/11/2022;-0,001404988;0,023767606;-0,023604176;-0,02887538;;;;;;;;;;;;;
03/11/2022;-0,001406964;-0,010318143;0,021695336;-0,020344288;;;;;;;;;;;;;
04/11/2022;-0,003874604;-0,035621199;0;-0,056709265;;;;;;;;;;;;;
07/11/2022;-0,015558699;-0,064864865;0,02745336;0,025402202;;;;;;;;;;;;;
08/11/2022;-0,010416667;-0,040462428;0,002509596;0,031379026;;;;;;;;;;;;;
09/11/2022;0,001451906;-0,011044177;-0,018259461;-0,026421137;;;;;;;;;;;;;
10/11/2022;-0,015947807;-0,069035533;-0,030898455;-0,036184211;;;;;;;;;;;;;
11/11/2022;-0,015101289;0,016357688;0;0,040102389;;;;;;;;;;;;;
14/11/2022;0;-0,008583691;0,00773874;-0,023789992;;;;;;;;;;;;;
15/11/2022;0;0,024891775;-0,025341729;-0,058823529;;;;;;;;;;;;;
16/11/2022;-0,005235602;0,067581837;-0,032461393;0,067857143;;;;;;;;;;;;;
17/11/2022;0,008270677;0,068249258;0,020032573;0,031772575;;;;;;;;;;;;;
18/11/2022;-0,005592841;0,059259259;0,013252435;0,004862237;;;;;;;;;;;;;
21/11/2022;0,002624672;-0,009615385;0,011660889;-0,025806452;;;;;;;;;;;;;
22/11/2022;0;-0,01059135;0,020560748;-0,012417219;;;;;;;;;;;;;
23/11/2022;-0,001121915;-0,06779661;-0,001221001;0,015088013;;;;;;;;;;;;;
24/11/2022;-0,001497566;0,040191388;0,022616137;0,016515277;;;;;;;;;;;;;
25/11/2022;-0,002624672;0,066237351;0,012253437;0,023558083;;;;;;;;;;;;;
28/11/2022;0,008270677;0,069025022;-0,006052554;0,034920635;;;;;;;;;;;;;
29/11/2022;-0,008202834;0,063761098;0,015891876;-0,004601227;;;;;;;;;;;;;
30/11/2022;0;0,057663126;-0,002339181;-0,001540832;;;;;;;;;;;;;
01/12/2022;0,005263158;-0,010760402;-0,004835873;0,017746914;;;;;;;;;;;;;
02/12/2022;-0,004113687;0,068165337;0,019437491;0,044730857;;;;;;;;;;;;;
05/12/2022;0,018024784;0,028513238;0,011844576;0,004354136;;;;;;;;;;;;;
06/12/2022;-0,008115087;-0,069966997;-0,029407566;-0,055635838;;;;;;;;;;;;;
07/12/2022;-0,005578282;-0,018452803;0;0;;;;;;;;;;;;;
08/12/2022;-0,013462977;0,035430224;-0,018237976;0,01606733;;;;;;;;;;;;;
09/12/2022;-0,0030326;0,016061453;-0,012284644;0,017319277;;;;;;;;;;;;;
12/12/2022;0,012547529;-0,03161512;-0,018807826;-0,023686158;;;;;;;;;;;;;
13/12/2022;0;0,021291696;-0,006337919;0,024260804;;;;;;;;;;;;;
14/12/2022;0,001502065;0,011118833;-0,006378345;0,004441155;;;;;;;;;;;;;
15/12/2022;0;0,007560137;0,001252544;0,002210759;;;;;;;;;;;;;
16/12/2022;0,034495688;0,053888131;0,005160281;-0,008823529;;;;;;;;;;;;;
19/12/2022;0,003986952;-0,019417476;-0,012756689;-0,010385757;;;;;;;;;;;;;
20/12/2022;-0,002888087;-0,050165017;0,022061141;-0,008995502;;;;;;;;;;;;;
21/12/2022;0,006879073;-0,004864489;0,012642615;0,011346445;;;;;;;;;;;;;
22/12/2022;0,015821647;0;-0,016595615;0,003739716;;;;;;;;;;;;;
23/12/2022;0,008849558;-0,029329609;-0,010373123;0;;;;;;;;;;;;;
26/12/2022;0,015438596;-0,068345324;-0,002503129;-0,034277198;;;;;;;;;;;;;
27/12/2022;0,00138217;0,067953668;0,007841907;0;;;;;;;;;;;;;
28/12/2022;-0,005175983;-0,002892263;0,005135387;-0,00462963;;;;;;;;;;;;;
29/12/2022;0,002774887;-0,010877447;0;0;;;;;;;;;;;;;
30/12/2022;0;0;-0,011611705;-0,004651163;;;;;;;;;;;;;
03/01/2023;-0,001383604;0,068914956;0,031484962;0,036604361;;;;;;;;;;;;;
04/01/2023;-0,007620367;0,008230453;0,010174639;-0,002253944;;;;;;;;;;;;;
05/01/2023;-0,010122164;0,020408163;0,024052916;0,009036145;;;;;;;;;;;;;
06/01/2023;0,02045134;-0,02;-0,017322372;0,012686567;;;;;;;;;;;;;
09/01/2023;0,007601935;0,010204082;0,011353451;-0,002210759;;;;;;;;;;;;;
10/01/2023;0,010288066;0,01010101;0,003692762;0,015509601;;;;;;;;;;;;;
11/01/2023;0;0,02;-0,019720383;0,032;;;;;;;;;;;;;
12/01/2023;-0,017651052;-0,007189542;0,00750638;0,011980268;;;;;;;;;;;;;
13/01/2023;0,011402903;-0,005266623;0,007450454;-0,013927577;;;;;;;;;;;;;
16/01/2023;-0,012299283;0,015221707;-0,014790711;0,035310734;;;;;;;;;;;;;
17/01/2023;-0,033206503;0,069100391;0,018916079;0,01159618;;;;;;;;;;;;;
18/01/2023;0,021109123;0,002439024;0,004862237;0,008091706;;;;;;;;;;;;;
19/01/2023;0,02452698;-0,025547445;0;0,019397993;;;;;;;;;;;;;
27/01/2023;-0,022571819;0,016853933;-0,015982405;0,013779528;;;;;;;;;;;;;
30/01/2023;0;0,011663597;-0,007450454;-0,036245955;;;;;;;;;;;;;
31/01/2023;0,038138558;0,015776699;-0,028974628;0,025520484;;;;;;;;;;;;;
01/02/2023;-0,001011122;-0,045400239;0,001236858;-0,032743942;;;;;;;;;;;;;
02/02/2023;0,013495277;0,010012516;-0,006485485;-0,007447529;;;;;;;;;;;;;
03/02/2023;0;-0,009913259;-0,00901461;-0,020463847;;;;;;;;;;;;;
06/02/2023;0;0,002503129;0,018350063;0,016713092;;;;;;;;;;;;;
07/02/2023;0,019640479;-0,066167291;-0,016787309;-0,012328767;;;;;;;;;;;;;
08/02/2023;-0,00489716;0,055481283;-0,00391604;0,002080444;;;;;;;;;;;;;
09/02/2023;0,009514436;-0,01139962;-0,010536248;-0,006228374;;;;;;;;;;;;;
10/02/2023;0,004874878;-0,00512492;0,011919898;-0,01183844;;;;;;;;;;;;;
13/02/2023;0,002263907;-0,014810045;-0,007852992;-0,012684989;;;;;;;;;;;;;
14/02/2023;-0,003549532;0,020261438;-0,008073453;-0,002141328;;;;;;;;;;;;;
15/02/2023;0,00615285;0,009609225;0,017555059;0,029327611;;;;;;;;;;;;;
16/02/2023;0;0,024111675;0,006430364;0,010423905;;;;;;;;;;;;;
17/02/2023;0,002252977;-0,01425031;-0,006389278;0;;;;;;;;;;;;;
20/02/2023;-0,007064868;0,042740415;0,019604768;0,039889959;;;;;;;;;;;;;
21/02/2023;0;-0,013863773;-0,003845562;-0,011243386;;;;;;;;;;;;;
22/02/2023;0,019081501;-0,018337408;-0,021927116;-0,02541806;;;;;;;;;;;;;
23/02/2023;-0,003490955;0,014321295;0,00252605;0,021962938;;;;;;;;;;;;;
24/02/2023;-0,020063694;-0,032535298;-0,013228346;-0,031564809;;;;;;;;;;;;;
27/02/2023;-0,000974976;-0,033629442;0,006702841;-0,013869626;;;;;;;;;;;;;
28/02/2023;0,005855563;-0,005252791;0,00412175;0,005625879;;;;;;;;;;;;;
01/03/2023;0;0,044884488;0,01847174;0,030769231;;;;;;;;;;;;;
02/03/2023;-0,007115136;-0,013897663;-0,005270501;-0,00339213;;;;;;;;;;;;;
03/03/2023;-0,00228013;-0,012171685;-0,006389278;-0,022464261;;;;;;;;;;;;;
06/03/2023;-0,064642507;0,001945525;-0,013174404;-0,007660167;;;;;;;;;;;;;
07/03/2023;0,05095986;0,034304207;0,010648442;0,007719298;;;;;;;;;;;;;
