"","mean","StdDev","out","w.VNM","w.DBD","w.HPG","w.ACB"
"result.69",0.000517450499562453,0.0102073700396193,0.000104190403125718,0.361468195386336,0.379138088945434,0.0330693175160551,0.226324398152175
"result.70",0.000517765019470367,0.0102077167430619,0.000104197481106587,0.36097030239282,0.379292365945288,0.0330986396597251,0.226638692002167
"result.71",0.000518079539378281,0.0102080684958342,0.000104204662415643,0.360472409399304,0.379446642945141,0.0331279618033952,0.22695298585216
"result.72",0.000518394059286196,0.0102084252974143,0.000104211947052887,0.359974516405789,0.379600919944994,0.0331572839470652,0.227267279702152
"result.73",0.00051870857919411,0.0102087871472727,0.00010421933501832,0.359476623412273,0.379755196944847,0.0331866060907353,0.227581573552144
"result.74",0.000519023099102024,0.0102091540448727,0.00010422682631194,0.358978730418757,0.379909473944701,0.0332159282344053,0.227895867402136
"result.75",0.000519337619009938,0.01020952598967,0.000104234420933748,0.358480837425242,0.380063750944554,0.0332452503780754,0.228210161252129
"result.76",0.000519652138917852,0.0102099029811132,0.000104242118883743,0.357982944431726,0.380218027944407,0.0332745725217454,0.228524455102121
"result.77",0.000519966658825767,0.0102102850186431,0.000104249920161927,0.357485051438211,0.38037230494426,0.0333038946654155,0.228838748952113
"result.78",0.000520281178733681,0.0102106721016933,0.000104257824768299,0.356987158444695,0.380526581944114,0.0333332168090855,0.229153042802106
"result.79",0.000520595698641595,0.0102110642296902,0.000104265832702858,0.356489265451179,0.380680858943967,0.0333625389527556,0.229467336652098
"result.80",0.000520910218549509,0.0102114614020524,0.000104273943965605,0.355991372457664,0.38083513594382,0.0333918610964256,0.22978163050209
"result.81",0.000521224738457424,0.0102118636181914,0.00010428215855654,0.355493479464148,0.380989412943674,0.0334211832400957,0.230095924352083
"result.82",0.000521539258365338,0.0102122708775112,0.000104290476475663,0.354995586470632,0.381143689943527,0.0334505053837658,0.230410218202075
"result.83",0.000521853778273252,0.0102126831794085,0.000104298897722974,0.354497693477117,0.38129796694338,0.0334798275274358,0.230724512052067
"result.84",0.000522168298181166,0.0102131005232727,0.000104307422298473,0.353999800483601,0.381452243943234,0.0335091496711059,0.23103880590206
"result.85",0.000522482818089081,0.0102135229084856,0.000104316050202159,0.353501907490085,0.381606520943087,0.0335384718147759,0.231353099752052
"result.86",0.000522797337996995,0.0102139503344217,0.000104324781434034,0.35300401449657,0.38176079794294,0.0335677939584459,0.231667393602044
"result.87",0.000523111857904909,0.0102143828004484,0.000104333615994096,0.352506121503054,0.381915074942793,0.033597116102116,0.231981687452037
"result.88",0.000523426377812823,0.0102148203059254,0.000104342553882346,0.352008228509538,0.382069351942647,0.0336264382457861,0.232295981302029
"result.89",0.000523740897720737,0.0102152628502053,0.000104351595098784,0.351510335516023,0.3822236289425,0.0336557603894561,0.232610275152021
"result.90",0.000524055417628652,0.0102157104326332,0.00010436073964341,0.351012442522507,0.382377905942353,0.0336850825331262,0.232924569002013
"result.91",0.000524369937536566,0.0102161630525469,0.000104369987516224,0.350514549528991,0.382532182942207,0.0337144046767962,0.233238862852006
