time,rf,rm,,,,,,,,
04/08/2023,9.79139E-05,0.012411743,,,,,,,,
07/08/2023,0.000100855,0.012594006,,,,,,,,
08/08/2023,0.000100855,0.000652479,,,,,,,,
09/08/2023,0.000101784,-0.006633232,,,,,,,,
10/08/2023,9.95011E-05,-0.010842876,,,,,,,,
11/08/2023,0.00010012,0.009503445,,,,,,,,
14/08/2023,0.000101513,0.003757476,,,,,,,,
15/08/2023,0.00010248,-0.002255749,,,,,,,,
16/08/2023,0.000104645,0.007463231,,,,,,,,
17/08/2023,0.000103254,-0.007866416,,,,,,,,
18/08/2023,0.000101049,-0.044986542,,,,,,,,
21/08/2023,0.000103834,0.001502559,,,,,,,,
22/08/2023,0.000105109,0.00061877,,,,,,,,
23/08/2023,0.000105496,-0.006717549,,,,,,,,
24/08/2023,0.000105148,0.01435321,,,,,,,,
25/08/2023,0.000104259,-0.005061418,,,,,,,,
28/08/2023,0.000106037,0.015506562,,,,,,,,
29/08/2023,0.00010708,0.002255101,,,,,,,,
30/08/2023,0.000107698,0.007248242,,,,,,,,
31/08/2023,0.000106384,0.008976557,,,,,,,,
05/09/2023,0.000107389,0.008929374,,,,,,,,
06/09/2023,0.000107736,0.008518357,,,,,,,,
07/09/2023,0.000107968,-0.001894821,,,,,,,,
08/09/2023,0.000107775,-0.001335328,,,,,,,,
11/09/2023,0.000107968,-0.014378,,,,,,,,
12/09/2023,0.000106809,0.017824015,,,,,,,,
13/09/2023,0.000106462,-0.00566065,,,,,,,,
14/09/2023,0.000106462,-0.011773351,,,,,,,,
15/09/2023,0.00010708,0.002900777,,,,,,,,
18/09/2023,0.000105534,-0.012669469,,,,,,,,
19/09/2023,0.000106307,-0.000255816,,,,,,,,
20/09/2023,0.000105496,0.01205943,,,,,,,,
21/09/2023,0.000106153,-0.010904405,,,,,,,,
22/09/2023,0.000107273,-0.016235962,,,,,,,,
25/09/2023,0.000108509,-0.033401785,,,,,,,,
26/09/2023,0.000109243,-0.013215401,,,,,,,,
27/09/2023,0.000107659,0.013963584,,,,,,,,
28/09/2023,0.000109513,-0.001230663,,,,,,,,
29/09/2023,0.000111057,0.001492498,,,,,,,,
02/10/2023,0.000111829,0.000953082,,,,,,,,
03/10/2023,0.000115993,-0.032157542,,,,,,,,
04/10/2023,0.000118382,0.009453537,,,,,,,,
05/10/2023,0.000119191,-0.013095059,,,,,,,,
06/10/2023,0.000118691,0.013152107,,,,,,,,
09/10/2023,0.000118883,0.007815408,,,,,,,,
10/10/2023,0.000118575,0.00556552,,,,,,,,
11/10/2023,0.00011819,0.006225463,,,,,,,,
12/10/2023,0.000117111,0.000695163,,,,,,,,
13/10/2023,0.000118344,0.002709251,,,,,,,,
16/10/2023,0.000118614,-0.011526504,,,,,,,,
17/10/2023,0.000119076,-0.017320531,,,,,,,,
18/10/2023,0.000119538,-0.016270673,,,,,,,,
19/10/2023,0.000124541,-0.014092804,,,,,,,,
20/10/2023,0.00012704,0.018550352,,,,,,,,
23/10/2023,0.00012681,-0.013086288,,,,,,,,
24/10/2023,0.000125695,0.01131199,,,,,,,,
25/10/2023,0.000121809,-0.003833981,,,,,,,,
26/10/2023,0.000121347,-0.041945791,,,,,,,,
27/10/2023,0.000120462,0.004898385,,,,,,,,
30/10/2023,0.000119884,-0.017178631,,,,,,,,
31/10/2023,0.000119884,-0.013632003,,,,,,,,
01/11/2023,0.000118382,0.011155526,,,,,,,,
02/11/2023,0.000117882,0.034443953,,,,,,,,
03/11/2023,0.000116957,0.001218072,,,,,,,,
06/11/2023,0.000115377,0.011961589,,,,,,,,
07/11/2023,0.00011368,-0.008599013,,,,,,,,
08/11/2023,0.000111095,0.030676948,,,,,,,,
09/11/2023,0.000111327,0.000413138,,,,,,,,
10/11/2023,0.000110671,-0.010961585,,,,,,,,
13/11/2023,0.000109822,-0.001461404,,,,,,,,
14/11/2023,0.00010959,0.008781259,,,,,,,,
15/11/2023,0.0001082,0.011507304,,,,,,,,
16/11/2023,0.000106771,0.002699332,,,,,,,,
17/11/2023,0.000105998,-0.021625368,,,,,,,,
20/11/2023,0.000104723,0.002243028,,,,,,,,
21/11/2023,0.000104645,0.006161318,,,,,,,,
22/11/2023,0.000104684,0.003025773,,,,,,,,
23/11/2023,9.9385E-05,-0.022741556,,,,,,,,
24/11/2023,0.000100972,0.006541172,,,,,,,,
27/11/2023,0.000101165,-0.006891138,,,,,,,,
28/11/2023,0.000101165,0.006773524,,,,,,,,
29/11/2023,0.000100004,0.006727952,,,,,,,,
30/11/2023,9.74493E-05,-0.007861806,,,,,,,,
01/12/2023,9.74493E-05,0.007339164,,,,,,,,
04/12/2023,9.72944E-05,0.016630979,,,,,,,,
05/12/2023,9.77203E-05,-0.004033949,,,,,,,,
06/12/2023,9.73331E-05,0.009373012,,,,,,,,
07/12/2023,9.77978E-05,-0.004385537,,,,,,,,
08/12/2023,9.76816E-05,0.002630429,,,,,,,,
11/12/2023,9.79526E-05,0.000942691,,,,,,,,
12/12/2023,9.76429E-05,0.001892492,,,,,,,,
13/12/2023,9.71782E-05,-0.011909935,,,,,,,,
14/12/2023,9.40789E-05,-0.003652845,,,,,,,,
15/12/2023,9.26059E-05,-0.007053228,,,,,,,,
18/12/2023,9.35362E-05,-0.009452962,,,,,,,,
